doc_id,title,department,year,region,text
D001,"Document Title D001 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D001 in department engineering for region asia_pacific and year 2023."
D002,"Document Title D002 (sales)",sales,2023,europe,"This is the body text of document D002 in department sales for region europe and year 2023."
D003,"Document Title D003 (finance)",finance,2024,europe,"This is the body text of document D003 in department finance for region europe and year 2024."
D004,"Document Title D004 (finance)",finance,2020,asia_pacific,"This is the body text of document D004 in department finance for region asia_pacific and year 2020."
D005,"Document Title D005 (finance)",finance,2021,europe,"This is the body text of document D005 in department finance for region europe and year 2021."
D006,"Document Title D006 (finance)",finance,2023,europe,"This is the body text of document D006 in department finance for region europe and year 2023."
D007,"Document Title D007 (engineering)",engineering,2023,latin_america,"This is the body text of document D007 in department engineering for region latin_america and year 2023."
D008,"Document Title D008 (marketing)",marketing,2023,latin_america,"This is the body text of document D008 in department marketing for region latin_america and year 2023."
D009,"Document Title D009 (finance)",finance,2020,latin_america,"This is the body text of document D009 in department finance for region latin_america and year 2020."
D010,"Document Title D010 (engineering)",engineering,2021,europe,"This is the body text of document D010 in department engineering for region europe and year 2021."
D011,"Document Title D011 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D011 in department engineering for region asia_pacific and year 2023."
D012,"Document Title D012 (sales)",sales,2020,asia_pacific,"This is the body text of document D012 in department sales for region asia_pacific and year 2020."
D013,"Document Title D013 (sales)",sales,2023,north_america,"This is the body text of document D013 in department sales for region north_america and year 2023."
D014,"Document Title D014 (finance)",finance,2025,asia_pacific,"This is the body text of document D014 in department finance for region asia_pacific and year 2025."
D015,"Document Title D015 (sales)",sales,2023,north_america,"This is the body text of document D015 in department sales for region north_america and year 2023."
D016,"Document Title D016 (hr)",hr,2022,north_america,"This is the body text of document D016 in department hr for region north_america and year 2022."
D017,"Document Title D017 (engineering)",engineering,2024,europe,"This is the body text of document D017 in department engineering for region europe and year 2024."
D018,"Document Title D018 (hr)",hr,2022,europe,"This is the body text of document D018 in department hr for region europe and year 2022."
D019,"Document Title D019 (engineering)",engineering,2020,north_america,"This is the body text of document D019 in department engineering for region north_america and year 2020."
D020,"Document Title D020 (sales)",sales,2020,north_america,"This is the body text of document D020 in department sales for region north_america and year 2020."
D021,"Document Title D021 (finance)",finance,2024,asia_pacific,"This is the body text of document D021 in department finance for region asia_pacific and year 2024."
D022,"Document Title D022 (marketing)",marketing,2026,europe,"This is the body text of document D022 in department marketing for region europe and year 2026."
D023,"Document Title D023 (finance)",finance,2026,asia_pacific,"This is the body text of document D023 in department finance for region asia_pacific and year 2026."
D024,"Document Title D024 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D024 in department marketing for region asia_pacific and year 2022."
D025,"Document Title D025 (marketing)",marketing,2025,latin_america,"This is the body text of document D025 in department marketing for region latin_america and year 2025."
D026,"Document Title D026 (engineering)",engineering,2026,europe,"This is the body text of document D026 in department engineering for region europe and year 2026."
D027,"Document Title D027 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D027 in department marketing for region asia_pacific and year 2021."
D028,"Document Title D028 (marketing)",marketing,2020,europe,"This is the body text of document D028 in department marketing for region europe and year 2020."
D029,"Document Title D029 (marketing)",marketing,2024,latin_america,"This is the body text of document D029 in department marketing for region latin_america and year 2024."
D030,"Document Title D030 (legal)",legal,2022,latin_america,"This is the body text of document D030 in department legal for region latin_america and year 2022."
D031,"Document Title D031 (hr)",hr,2022,latin_america,"This is the body text of document D031 in department hr for region latin_america and year 2022."
D032,"Document Title D032 (finance)",finance,2026,north_america,"This is the body text of document D032 in department finance for region north_america and year 2026."
D033,"Document Title D033 (finance)",finance,2023,asia_pacific,"This is the body text of document D033 in department finance for region asia_pacific and year 2023."
D034,"Document Title D034 (engineering)",engineering,2021,north_america,"This is the body text of document D034 in department engineering for region north_america and year 2021."
D035,"Document Title D035 (sales)",sales,2021,latin_america,"This is the body text of document D035 in department sales for region latin_america and year 2021."
D036,"Document Title D036 (marketing)",marketing,2026,north_america,"This is the body text of document D036 in department marketing for region north_america and year 2026."
D037,"Document Title D037 (marketing)",marketing,2021,north_america,"This is the body text of document D037 in department marketing for region north_america and year 2021."
D038,"Document Title D038 (sales)",sales,2022,asia_pacific,"This is the body text of document D038 in department sales for region asia_pacific and year 2022."
D039,"Document Title D039 (finance)",finance,2024,asia_pacific,"This is the body text of document D039 in department finance for region asia_pacific and year 2024."
D040,"Document Title D040 (marketing)",marketing,2022,north_america,"This is the body text of document D040 in department marketing for region north_america and year 2022."
D041,"Document Title D041 (sales)",sales,2026,asia_pacific,"This is the body text of document D041 in department sales for region asia_pacific and year 2026."
D042,"Document Title D042 (legal)",legal,2026,north_america,"This is the body text of document D042 in department legal for region north_america and year 2026."
D043,"Document Title D043 (sales)",sales,2025,latin_america,"This is the body text of document D043 in department sales for region latin_america and year 2025."
D044,"Document Title D044 (engineering)",engineering,2024,north_america,"This is the body text of document D044 in department engineering for region north_america and year 2024."
D045,"Document Title D045 (engineering)",engineering,2020,europe,"This is the body text of document D045 in department engineering for region europe and year 2020."
D046,"Document Title D046 (marketing)",marketing,2025,north_america,"This is the body text of document D046 in department marketing for region north_america and year 2025."
D047,"Document Title D047 (engineering)",engineering,2020,europe,"This is the body text of document D047 in department engineering for region europe and year 2020."
D048,"Document Title D048 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D048 in department engineering for region asia_pacific and year 2020."
D049,"Document Title D049 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D049 in department marketing for region asia_pacific and year 2023."
D050,"Document Title D050 (legal)",legal,2021,asia_pacific,"This is the body text of document D050 in department legal for region asia_pacific and year 2021."
D051,"Document Title D051 (legal)",legal,2021,north_america,"This is the body text of document D051 in department legal for region north_america and year 2021."
D052,"Document Title D052 (sales)",sales,2020,north_america,"This is the body text of document D052 in department sales for region north_america and year 2020."
D053,"Document Title D053 (engineering)",engineering,2021,latin_america,"This is the body text of document D053 in department engineering for region latin_america and year 2021."
D054,"Document Title D054 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D054 in department marketing for region asia_pacific and year 2021."
D055,"Document Title D055 (hr)",hr,2025,europe,"This is the body text of document D055 in department hr for region europe and year 2025."
D056,"Document Title D056 (marketing)",marketing,2020,europe,"This is the body text of document D056 in department marketing for region europe and year 2020."
D057,"Document Title D057 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D057 in department marketing for region asia_pacific and year 2020."
D058,"Document Title D058 (hr)",hr,2021,europe,"This is the body text of document D058 in department hr for region europe and year 2021."
D059,"Document Title D059 (marketing)",marketing,2024,europe,"This is the body text of document D059 in department marketing for region europe and year 2024."
D060,"Document Title D060 (legal)",legal,2025,europe,"This is the body text of document D060 in department legal for region europe and year 2025."
D061,"Document Title D061 (legal)",legal,2026,europe,"This is the body text of document D061 in department legal for region europe and year 2026."
D062,"Document Title D062 (finance)",finance,2023,latin_america,"This is the body text of document D062 in department finance for region latin_america and year 2023."
D063,"Document Title D063 (legal)",legal,2021,north_america,"This is the body text of document D063 in department legal for region north_america and year 2021."
D064,"Document Title D064 (legal)",legal,2022,north_america,"This is the body text of document D064 in department legal for region north_america and year 2022."
D065,"Document Title D065 (finance)",finance,2022,north_america,"This is the body text of document D065 in department finance for region north_america and year 2022."
D066,"Document Title D066 (engineering)",engineering,2020,europe,"This is the body text of document D066 in department engineering for region europe and year 2020."
D067,"Document Title D067 (marketing)",marketing,2022,europe,"This is the body text of document D067 in department marketing for region europe and year 2022."
D068,"Document Title D068 (engineering)",engineering,2021,europe,"This is the body text of document D068 in department engineering for region europe and year 2021."
D069,"Document Title D069 (hr)",hr,2025,north_america,"This is the body text of document D069 in department hr for region north_america and year 2025."
D070,"Document Title D070 (engineering)",engineering,2023,north_america,"This is the body text of document D070 in department engineering for region north_america and year 2023."
D071,"Document Title D071 (hr)",hr,2025,europe,"This is the body text of document D071 in department hr for region europe and year 2025."
D072,"Document Title D072 (legal)",legal,2021,north_america,"This is the body text of document D072 in department legal for region north_america and year 2021."
D073,"Document Title D073 (sales)",sales,2020,asia_pacific,"This is the body text of document D073 in department sales for region asia_pacific and year 2020."
D074,"Document Title D074 (sales)",sales,2024,asia_pacific,"This is the body text of document D074 in department sales for region asia_pacific and year 2024."
D075,"Document Title D075 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D075 in department marketing for region asia_pacific and year 2023."
D076,"Document Title D076 (marketing)",marketing,2022,europe,"This is the body text of document D076 in department marketing for region europe and year 2022."
D077,"Document Title D077 (engineering)",engineering,2022,latin_america,"This is the body text of document D077 in department engineering for region latin_america and year 2022."
D078,"Document Title D078 (hr)",hr,2024,europe,"This is the body text of document D078 in department hr for region europe and year 2024."
D079,"Document Title D079 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D079 in department engineering for region asia_pacific and year 2020."
D080,"Document Title D080 (legal)",legal,2021,asia_pacific,"This is the body text of document D080 in department legal for region asia_pacific and year 2021."
D081,"Document Title D081 (finance)",finance,2025,latin_america,"This is the body text of document D081 in department finance for region latin_america and year 2025."
D082,"Document Title D082 (legal)",legal,2024,north_america,"This is the body text of document D082 in department legal for region north_america and year 2024."
D083,"Document Title D083 (hr)",hr,2022,north_america,"This is the body text of document D083 in department hr for region north_america and year 2022."
D084,"Document Title D084 (marketing)",marketing,2020,north_america,"This is the body text of document D084 in department marketing for region north_america and year 2020."
D085,"Document Title D085 (marketing)",marketing,2021,europe,"This is the body text of document D085 in department marketing for region europe and year 2021."
D086,"Document Title D086 (engineering)",engineering,2023,north_america,"This is the body text of document D086 in department engineering for region north_america and year 2023."
D087,"Document Title D087 (sales)",sales,2023,asia_pacific,"This is the body text of document D087 in department sales for region asia_pacific and year 2023."
D088,"Document Title D088 (hr)",hr,2020,latin_america,"This is the body text of document D088 in department hr for region latin_america and year 2020."
D089,"Document Title D089 (legal)",legal,2021,asia_pacific,"This is the body text of document D089 in department legal for region asia_pacific and year 2021."
D090,"Document Title D090 (finance)",finance,2023,latin_america,"This is the body text of document D090 in department finance for region latin_america and year 2023."
D091,"Document Title D091 (engineering)",engineering,2026,latin_america,"This is the body text of document D091 in department engineering for region latin_america and year 2026."
D092,"Document Title D092 (legal)",legal,2021,north_america,"This is the body text of document D092 in department legal for region north_america and year 2021."
D093,"Document Title D093 (legal)",legal,2020,asia_pacific,"This is the body text of document D093 in department legal for region asia_pacific and year 2020."
D094,"Document Title D094 (marketing)",marketing,2020,europe,"This is the body text of document D094 in department marketing for region europe and year 2020."
D095,"Document Title D095 (engineering)",engineering,2026,north_america,"This is the body text of document D095 in department engineering for region north_america and year 2026."
D096,"Document Title D096 (marketing)",marketing,2024,north_america,"This is the body text of document D096 in department marketing for region north_america and year 2024."
D097,"Document Title D097 (legal)",legal,2023,europe,"This is the body text of document D097 in department legal for region europe and year 2023."
